Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing,Year,Payload mass kg,Payload mass lbs
350,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-06-27,11:14,F9B5,Success ( JRTI,2024,17100.0,37699.00199999999
351,Vandenberg,Starshield,U,SSO,NRO,Success,2024-06-29,03:14,F9B5,Success ( OCISLY,2024,,
352,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-07-03,08:55,F9B5,Success ( ASOG,2024,16300.0,35935.306
353,Cape Canaveral,Türksat 6A,"4,250 kg",GTO,Türksat,Success,2024-07-08,23:30,F9B5,Success ( JRTI,2024,4250.0,9369.634999999998
354,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Failure,2024-07-12,02:35,F9B5,Success ( OCISLY,2024,16300.0,35935.306
355,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-07-27,05:45,F9B5,Success ( JRTI,2024,17100.0,37699.00199999999
356,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-07-28,05:09,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
357,Vandenberg,Starlink,"~16,500 kg",LEO,SpaceX,Success,2024-07-28,09:22,F9B5,Success ( OCISLY,2024,16500.0,36376.229999999996
358,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-08-02,05:01,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
359,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-08-04,07:24,F9B5,Success ( OCISLY,2024,17100.0,37699.00199999999
360,Cape Canaveral,"CRS NG-21 (S.S. Francis R. ""Dick"" Scobee)","3,857 kg",LEO,Northrop Grumman,Success,2024-08-04,15:02,F9B5,Success ( LZ‑1,2024,3857.0,8503.21934
361,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2024-08-10,12:50,F9B5,Success ( JRTI,2024,16500.0,36376.229999999996
362,Vandenberg,,"~7,230 kg",Molniya,Space Norway,Success,2024-08-12,02:02,F9B5,Success ( OCISLY,2024,7230.0,15939.4026
363,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-08-12,10:37,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
364,Cape Canaveral,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,Success,2024-08-15,13:00,F9B5,Success ( LZ‑1,2024,1500.0,3306.93
365,Vandenberg,Transporter-11,U,SSO,,Success,2024-08-16,18:56,F9B5,Success ( LZ‑4,2024,,
366,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-08-20,13:20,F9B5,Success ( ASOG,2024,16700.0,36817.153999999995
367,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-08-28,07:48,F9B5,Failure ( ASOG,2024,16700.0,36817.153999999995
368,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-08-31,07:43,F9B5,Success ( JRTI,2024,16700.0,36817.153999999995
369,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-08-31,08:48,F9B5,Success ( OCISLY,2024,16700.0,36817.153999999995
370,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-09-05,15:33,F9B5,Success ( JRTI,2024,16700.0,36817.153999999995
371,Vandenberg,Starshield,U,LEO,NRO,Success,2024-09-06,03:20,F9B5,Success ( OCISLY,2024,,
372,Kennedy,Polaris Dawn,"~13,000 kg",LEO,Polaris Program,Success,2024-09-10,09:23,F9B5,Success ( JRTI,2024,13000.0,28660.059999999998
373,Cape Canaveral,,"7,500 kg",LEO,AST SpaceMobile,Success,2024-09-12,08:52,F9B5,Success ( LZ‑1,2024,7500.0,16534.649999999998
374,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-09-13,01:45,F9B5,Success ( OCISLY,2024,16700.0,36817.153999999995
375,Cape Canaveral,Galileo,"1,600 kg",MEO,ESA,Success,2024-09-17,22:50,F9B5,Success ( JRTI,2024,1600.0,3527.392
376,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-09-20,13:50,F9B5,Success ( OCISLY,2024,16300.0,35935.306
377,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-09-25,04:01,F9B5,Success ( OCISLY,2024,16300.0,35935.306
378,Cape Canaveral,Crew-9,"~13,000 kg",LEO,NASA,Success,2024-09-28,17:17,F9B5,Success ( LZ‑1,2024,13000.0,28660.059999999998
379,Cape Canaveral,Hera,"1,108 kg",Heliocentric,ESA,Success,2024-10-07,14:52,F9B5,No attempt,2024,1108.0,2442.7189599999997
380,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-10-15,06:10,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
381,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-10-15,08:21,F9B5,Success ( OCISLY,2024,16300.0,35935.306
382,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-10-18,23:31,F9B5,Success ( JRTI,2024,16300.0,35935.306
383,Vandenberg,OneWeb #20,"2,954 kg",Polar,OneWeb,Success,2024-10-20,05:13,F9B5,Success ( LZ‑4,2024,2954.0,6512.44748
384,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-10-23,21:47,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
385,Vandenberg,NROL-167,U,LEO,NRO,Success,2024-10-24,17:13,F9B5,Success ( OCISLY,2024,,
386,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-10-26,21:47,F9B5,Success ( JRTI,2024,16700.0,36817.153999999995
387,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-10-30,12:07,F9B5,Success ( OCISLY,2024,16300.0,35935.306
388,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-10-30,21:10,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
389,Kennedy,SpaceX CRS-31,"2,762 kg",LEO,NASA,Success,2024-11-05,02:29,F9B5,Success ( LZ‑1,2024,2762.0,6089.16044
390,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-11-07,20:19,F9B5,Success ( JRTI,2024,17100.0,37699.00199999999
391,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-11-09,06:14,F9B5,Success ( OCISLY,2024,16300.0,35935.306
392,Kennedy,Koreasat,"3,500 kg",GTO,KT Sat,Success,2024-11-11,17:22,F9B5,Success ( LZ‑1,2024,3500.0,7716.169999999999
393,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,2024-11-11,21:28,F9B5,Success ( ASOG,2024,17500.0,38580.85
394,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-11-14,05:23,F9B5,Success ( OCISLY,2024,16300.0,35935.306
395,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,2024-11-14,13:21,F9B5,Success ( JRTI,2024,17500.0,38580.85
396,Kennedy,Optus,"~4,000 kg",GTO,Optus,Success,2024-11-17,22:28,F9B5,Success ( ASOG,2024,4000.0,8818.48
397,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-11-18,05:53,F9B5,Success ( OCISLY,2024,16300.0,35935.306
398,Cape Canaveral,GSAT-20,"4,700 kg",GTO,New Space India Limited,Success,2024-11-18,18:31,F9B5,Success ( JRTI,2024,4700.0,10361.714
399,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,2024-11-21,16:07,F9B5,Success ( ASOG,2024,17500.0,38580.85
400,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-11-24,05:25,F9B5,Success ( OCISLY,2024,16300.0,35935.306
401,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-11-25,10:02,F9B5,Success ( JRTI,2024,17100.0,37699.00199999999
402,Kennedy,Starlink,"~17,500 kg",LEO,SpaceX,Success,2024-11-27,04:41,F9B5,Success ( ASOG,2024,17500.0,38580.85
403,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,2024-11-30,05:00,F9B5,Success ( JRTI,2024,17500.0,38580.85
404,Vandenberg,NROL-126,"~16,100 kg",LEO,NRO,Success,2024-11-30,08:10,F9B5,Success ( OCISLY,2024,16100.0,35494.382
405,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,2024-12-04,10:13,F9B5,Success ( ASOG,2024,17500.0,38580.85
406,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,2024-12-05,03:05,F9B5,Success ( OCISLY,2024,16300.0,35935.306
407,Kennedy,SXM-9,"7,000 kg",GTO,Sirius XM,Success,2024-12-05,16:10,F9B5,Success ( JRTI,2024,7000.0,15432.339999999998
408,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2024-12-08,05:12,F9B5,Success ( ASOG,2024,17100.0,37699.00199999999
409,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-12-13,21:55,F9B5,Success ( OCISLY,2024,16700.0,36817.153999999995
410,Cape Canaveral,GPS III,"~4,350 kg",MEO,USSF,Success,2024-12-17,00:52,F9B5,Success ( ASOG,2024,4350.0,9590.097
411,Vandenberg,Starshield,U,LEO,NRO,Success,2024-12-17,13:19,F9B5,Success ( OCISLY,2024,,
412,Kennedy,O3b mPOWER,"3,400 kg",MEO,SES,Success,2024-12-17,22:26,F9B5,Success ( JRTI,2024,3400.0,7495.708
413,Vandenberg,Bandwagon-2,800 kg,LEO,Republic of Korea Armed Forces,Success,2024-12-21,11:34,F9B5,Success ( LZ‑4,2024,800.0,1763.696
414,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,2024-12-23,05:35,F9B5,Success ( JRTI,2024,16500.0,36376.229999999996
415,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,2024-12-29,01:58,F9B5,Success ( OCISLY,2024,16700.0,36817.153999999995
416,Cape Canaveral,Astranis,"1,600 kg",GTO,Astranis,Success,2024-12-29,05:00,F9B5,Success ( ASOG,2024,1600.0,3527.392
417,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,2024-12-31,05:39,F9B5,Success ( JRTI,2024,16500.0,36376.229999999996
418,Cape Canaveral,Thuraya 4-NGS,"5,000 kg",GTO,Thuraya,Success,2025-01-04,01:27,F9B5,Success ( ASOG,2025,5000.0,11023.099999999999
419,Cape Canaveral,Starlink,"~17,500 kg",LEO,SpaceX,Success,2025-01-06,20:43,F9B5,Success ( JRTI,2025,17500.0,38580.85
420,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-01-08,15:27,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
421,Vandenberg,Starshield,U,LEO,NRO,Success,2025-01-10,03:53,F9B5,Success ( OCISLY,2025,,
422,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-01-10,19:11,F9B5,Success ( JRTI,2025,16500.0,36376.229999999996
423,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-01-13,16:47,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
424,Vandenberg,Transporter-12,"2,000 kg",SSO,,Success,2025-01-14,19:09,F9B5,Success ( LZ‑4,2025,2000.0,4409.24
425,Kennedy,Blue Ghost Mission 1,"2,517 kg",TLI,Firefly Aerospace,Success,2025-01-15,06:11,F9B5,Success ( JRTI,2025,2517.0,5549.028539999999
426,Kennedy,Starlink,"~15,300 kg",LEO,SpaceX,Success,2025-01-21,05:24,F9B5,Success ( ASOG,2025,15300.0,33730.685999999994
427,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-01-21,15:45,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
428,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-01-24,14:07,F9B5,Success ( OCISLY,2025,17100.0,37699.00199999999
429,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-01-27,22:05,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
430,Kennedy,Spainsat NG,"6,100 kg",GTO,Hisdesat,Success,2025-01-30,01:34,F9B5,No attempt,2025,6100.0,13448.181999999999
431,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,2025-02-01,23:02,F9B5,Success ( OCISLY,2025,16700.0,36817.153999999995
432,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-02-04,10:15,F9B5,Success ( JRTI,2025,16500.0,36376.229999999996
433,Kennedy,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,Success,2025-02-04,23:13,F9B5,Success ( LZ‑1,2025,1500.0,3306.93
434,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-02-08,19:18,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
435,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-02-11,02:09,F9B5,Success ( OCISLY,2025,17100.0,37699.00199999999
436,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-02-11,18:53,F9B5,Success ( JRTI,2025,16500.0,36376.229999999996
437,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-02-15,06:14,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
438,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-02-18,23:21,F9B5,Success ( JRTI,2025,17100.0,37699.00199999999
439,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-02-21,15:19,F9B5,Success ( ASOG,2025,17100.0,37699.00199999999
440,Vandenberg,Starlink,"~16,800 kg",LEO,SpaceX,Success,2025-02-23,01:38,F9B5,Success ( OCISLY,2025,16800.0,37037.615999999995
441,Kennedy,IM-2,U,TLI,NASA,Success,2025-02-27,00:16,F9B5,Success ( ASOG,2025,,
442,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-02-27,03:34,F9B5[,Success ( JRTI,2025,16500.0,36376.229999999996
443,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-03-03,02:24,F9B5,Failure ( JRTI,2025,16500.0,36376.229999999996
444,Vandenberg,SPHEREx,758 kg,SSO,NASA,Success,2025-03-12,03:10,F9B5,Success ( LZ‑4,2025,758.0,1671.10196
445,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-03-13,02:35,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
446,Kennedy,Crew-10,"~13,000 kg",LEO,NASA,Success,2025-03-14,23:03,F9B5,Success ( LZ‑1,2025,13000.0,28660.059999999998
447,Vandenberg,Transporter-13,U,SSO,,Success,2025-03-15,06:43,F9B5,Success ( LZ‑4,2025,,
448,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-03-15,11:35,F9B5,Success ( JRTI,2025,17100.0,37699.00199999999
449,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-03-18,19:57,F9B5,Success ( ASOG,2025,17100.0,37699.00199999999
450,Vandenberg,NROL-57,U,LEO,NRO,Success,2025-03-21,06:49,F9B5,Success ( LZ‑4,2025,,
451,Cape Canaveral,NROL-69,U,LEO,USSF,Success,2025-03-24,17:48,F9B5,Success ( LZ‑1,2025,,
452,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-03-26,22:11,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
453,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-03-31,19:52,F9B5,Success ( JRTI,2025,16100.0,35494.382
454,Kennedy,Fram2,"~13,000 kg",Polar,Chun Wang,Success,2025-04-01,01:46,F9B5,Success ( ASOG,2025,13000.0,28660.059999999998
455,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-04-04,01:02,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
456,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-04-06,03:07,F9B5,Success ( JRTI,2025,16100.0,35494.382
457,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-04-07,23:06,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
458,Vandenberg,NROL-192,U,LEO,NRO,Success,2025-04-12,12:25,F9B5,Success ( OCISLY,2025,,
459,Kennedy,Starlink,"~16,500 kg",LEO,SpaceX,Success,2025-04-13,00:53,F9B5,Success ( ASOG,2025,16500.0,36376.229999999996
460,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-04-14,04:00,F9B5,Success ( JRTI,2025,15500.0,34171.60999999999
461,Vandenberg,NROL-145,U,LEO,NRO,Success,2025-04-20,12:29,F9B5,Success ( OCISLY,2025,,
462,Kennedy,SpaceX CRS-32,"3,021 kg",LEO,NASA,Success,2025-04-21,08:15,F9B5,Success ( LZ‑1,2025,3021.0,6660.15702
463,Cape Canaveral,Bandwagon-3,U,LEO,Republic of Korea Armed Forces,Success,2025-04-22,00:48,F9B5,Success ( LZ‑2,2025,,
464,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-04-25,01:52,F9B5,Success ( ASOG,2025,16100.0,35494.382
465,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-04-28,02:09,F9B5,Success ( JRTI,2025,17100.0,37699.00199999999
466,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-04-28,20:42,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
467,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-04-29,02:34,F9B5,Success ( ASOG,2025,17100.0,37699.00199999999
468,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-05-02,01:51,F9B5,Success ( JRTI,2025,16100.0,35494.382
469,Kennedy,Starlink,"~16,675 kg",LEO,SpaceX,Success,2025-05-04,08:54,F9B5,Success ( ASOG,2025,16675.0,36762.038499999995
470,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-05-07,01:17,F9B5,Success ( JRTI,2025,16100.0,35494.382
471,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-05-10,00:19,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
472,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-05-10,06:28,F9B5,Success ( ASOG,2025,16100.0,35494.382
473,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-05-13,01:15,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
474,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-05-13,05:02,F9B5,Success ( JRTI,2025,16100.0,35494.382
475,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-05-14,16:38,F9B5,Success ( ASOG,2025,16100.0,35494.382
476,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-05-16,13:43,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
477,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-05-21,03:19,F9B5,Success ( JRTI,2025,17100.0,37699.00199999999
478,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-05-23,22:32,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
479,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-05-24,17:19,F9B5,Success ( ASOG,2025,17100.0,37699.00199999999
480,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-05-27,16:57,F9B5,Success ( OCISLY,2025,17500.0,38580.85
481,Kennedy,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-05-28,13:30,F9B5,Success ( JRTI,2025,15500.0,34171.60999999999
482,Cape Canaveral,GPS III,"4,350 kg",MEO,USSF,Success,2025-05-30,17:37,F9B5,Success ( ASOG,2025,4350.0,9590.097
483,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-05-31,20:10,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
484,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-06-03,04:43,F9B5,Success ( JRTI,2025,17100.0,37699.00199999999
485,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-06-04,23:40,F9B5,Success ( OCISLY,2025,15500.0,34171.60999999999
486,Cape Canaveral,SXM-10,"6,400 kg",GTO,Sirius XM,Success,2025-06-07,04:54,F9B5,Success ( ASOG,2025,6400.0,14109.568
487,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-06-08,14:20,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
488,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-06-10,13:05,F9B5,Success ( JRTI,2025,17100.0,37699.00199999999
489,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-06-13,01:54,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
490,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,2025-06-13,15:29,F9B5,Success ( ASOG,2025,17100.0,37699.00199999999
491,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-06-17,03:36,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
492,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-06-18,05:55,F9B5,Success ( JRTI,2025,16100.0,35494.382
493,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-06-23,05:58,F9B5,Success ( ASOG,2025,15500.0,34171.60999999999
494,Vandenberg,Transporter-14,U,SSO,,Success,2025-06-23,21:25,F9B5,Success ( OCISLY,2025,,
495,Kennedy,Axiom Mission 4,"~13,000 kg",LEO,Axiom Space,Success,2025-06-25,06:31,F9B5,Success ( LZ‑1,2025,13000.0,28660.059999999998
496,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-06-25,19:54,F9B5,Success ( JRTI,2025,15500.0,34171.60999999999
497,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-06-28,04:26,F9B5,Success ( ASOG,2025,15500.0,34171.60999999999
498,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-06-28,17:13,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
499,Kennedy,MTG-S1,"3,800 kg",GTO,EUMETSAT,Success,2025-07-01,21:04,F9B5,Success ( JRTI,2025,3800.0,8377.555999999999
500,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,2025-07-02,06:28,F9B5,Success ( ASOG,2025,15500.0,34171.60999999999
501,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-07-08,08:21,F9B5,Success ( ASOG,2025,16100.0,35494.382
502,Cape Canaveral,Dror-1,"4,000 kg",GTO,IAI,Success,2025-07-13,05:04,F9B5,Success ( JRTI,2025,4000.0,8818.48
503,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,2025-07-16,02:05,F9B5,Success ( OCISLY,2025,14950.0,32959.068999999996
504,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,Success,2025-07-16,06:30,F9B5,Success ( ASOG,2025,14784.0,32593.102079999997
505,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-07-19,03:52,F9B5,Success ( OCISLY,2025,17500.0,38580.85
506,Cape Canaveral,O3b mPOWER,"3,400 kg",MEO,SES,Success,2025-07-22,21:12,F9B5,Success ( JRTI,2025,3400.0,7495.708
507,Vandenberg,TRACERS,~920 kg,SSO,NASA,Success,2025-07-23,18:13,F9B5,Success ( LZ‑4,2025,920.0,2028.2504
508,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-07-26,09:01,F9B5,Success ( ASOG,2025,16100.0,35494.382
509,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-07-27,04:31,F9B5,Success ( OCISLY,2025,17500.0,38580.85
510,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-07-30,03:37,F9B5,Success ( JRTI,2025,16100.0,35494.382
511,Vandenberg,Starlink,"~14,060 kg",SSO,SpaceX,Success,2025-07-31,18:35,F9B5,Success ( OCISLY,2025,14060.0,30996.957199999997
512,Kennedy,Crew-11,"~13,000 kg",LEO,NASA,Success,2025-08-01,15:43,F9B5,Success ( LZ‑1,2025,13000.0,28660.059999999998
513,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-08-04,07:57,F9B5,Success ( JRTI,2025,16100.0,35494.382
514,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,Success,2025-08-11,12:35,F9B5,Success ( ASOG,2025,14784.0,32593.102079999997
515,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-08-14,05:05,F9B5,Success ( OCISLY,2025,17500.0,38580.85
516,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-08-14,12:29,F9B5,Success ( JRTI,2025,16100.0,35494.382
517,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-08-18,16:26,F9B5,Success ( OCISLY,2025,17500.0,38580.85
518,Kennedy,USSF-36,"~4,990 kg",LEO,USSF,Success,2025-08-22,03:50,F9B5[,Success ( LZ‑2,2025,4990.0,11001.0538
519,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-08-22,17:04,F9B5,Success ( OCISLY,2025,17500.0,38580.85
520,Cape Canaveral,SpaceX CRS-33,"2,300 kg",LEO,NASA,Success,2025-08-24,06:45,F9B5,Success ( ASOG,2025,2300.0,5070.625999999999
521,Vandenberg,NAOS,"~1,370 kg",SSO,Luxembourg Armed Forces,Success,2025-08-26,18:53,F9B5,Success ( LZ‑4,2025,1370.0,3020.3293999999996
522,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-08-27,11:10,F9B5,Success ( JRTI,2025,16100.0,35494.382
523,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-08-28,08:12,F9B5,Success ( ASOG,2025,16100.0,35494.382
524,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-08-30,04:59,F9B5,Success ( OCISLY,2025,17500.0,38580.85
525,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-08-31,11:49,F9B5,Success ( JRTI,2025,16100.0,35494.382
526,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-09-03,03:51,F9B5,Success ( OCISLY,2025,17500.0,38580.85
527,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-09-03,11:56,F9B5,Success ( ASOG,2025,16100.0,35494.382
528,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,2025-09-05,12:32,F9B5,Success ( JRTI,2025,16100.0,35494.382
529,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,2025-09-06,18:06,F9B5,Success ( OCISLY,2025,17500.0,38580.85
530,Vandenberg,SDA Tranche 1 Transport Layer B,U,Polar,SDA,Success,2025-09-10,14:12,F9B5,Success ( OCISLY,2025,,
531,Cape Canaveral,Nusantara Lima,"~7,800 kg",GTO,PT Pasifik Satelit Nusantara,Success,2025-09-12,01:56,F9B5,Success ( ASOG,2025,7800.0,17196.036
